Month,OCS,Nz Resident Travel Overseas,NZRT,logresident1000,logcredit
10-Jan,266,"158,270",158.27,2.199398602,2.424881637
10-Feb,278,"169,000",169,2.227886705,2.444044796
10-Mar,275,"166,370",166.37,2.221075017,2.439332694
10-Apr,284,"170,840",170.84,2.232589563,2.45331834
10-May,276,"163,480",163.48,2.213464629,2.440909082
10-Jun,277,"171,550",171.55,2.234390722,2.442479769
10-Jul,279,"169,940",169.94,2.230295614,2.445604203
10-Aug,285,"167,210",167.21,2.223262247,2.45484486
10-Sep,285,"171,750",171.75,2.234896746,2.45484486
10-Oct,286,"168,740",168.74,2.227218045,2.456366033
10-Nov,281,"169,130",169.13,2.228220649,2.44870632
10-Dec,296,"176,960",176.96,2.24787511,2.471291711
11-Jan,286,"177,210",177.21,2.248488226,2.456366033
11-Feb,285,"170,860",170.86,2.232640402,2.45484486
11-Mar,295,"178,370",178.37,2.251321812,2.469822016
11-Apr,295,"174,220",174.22,2.241098009,2.469822016
11-May,302,"177,350",177.35,2.248831193,2.480006943
11-Jun,308,"177,070",177.07,2.248144987,2.488550717
11-Jul,304,"175,200",175.2,2.243534102,2.482873584
11-Aug,302,"178,170",178.17,2.25083458,2.480006943
11-Sep,273,"148,130",148.13,2.245636029,2.472756449
11-Oct,279,"170,120",170.12,2.230755374,2.445604203
11-Nov,312,"182,100",182.1,2.260309946,2.494154594
11-Dec,315,"183,780",183.78,2.264298247,2.498310554
12-Jan,315,"191,230",191.23,2.281556025,2.498310554
12-Feb,311,"183,570",183.57,2.263801708,2.492760389
12-Mar,314,"184,120",184.12,2.265100966,2.496929648
12-Apr,315,"178,040",178.04,2.250517586,2.498310554
12-May,317,"177,080",177.08,2.248169513,2.501059262
12-Jun,311,"178,140",178.14,2.250761448,2.492760389
12-Jul,320,"178,980",178.98,2.252804504,2.505149978
12-Aug,312,"181,080",181.08,2.257870486,2.494154594
12-Sep,319,"180,890",180.89,2.257414559,2.503790683
12-Oct,316,"178,440",178.44,2.251492215,2.499687083
12-Nov,328,"180,470",180.47,2.256405018,2.515873844
12-Dec,331,"179,580",179.58,2.254257967,2.519827994
13-Jan,327,"179,960",179.96,2.255175984,2.514547753
13-Feb,335,"181,470",181.47,2.258804839,2.525044807
13-Mar,334,"179,710",179.71,2.254572244,2.523746467
13-Apr,340,"186,260",186.26,2.270119599,2.531478917
13-May,338,"181,360",181.36,2.258541507,2.5289167
13-Jun,347,"181,130",181.13,2.257990387,2.540329475
13-Jul,340,"183,420",183.42,2.263446689,2.531478917
13-Aug,344,"187,390",187.39,2.272746411,2.536558443
13-Sep,338,"184,940",184.94,2.267030853,2.5289167
13-Oct,328,"183,240",183.24,2.263020283,2.515873844
13-Nov,343,"178,730",178.73,2.252197455,2.53529412
13-Dec,346,"184,310",184.31,2.265548899,2.539076099
14-Jan,347,"187,790",187.79,2.273672462,2.540329475
14-Feb,357,"189,250",189.25,2.277035888,2.552668216
14-Mar,357,"179,680",179.68,2.254499739,2.552668216
14-Apr,344,"190,110",190.11,2.279004962,2.536558443
14-May,353,"193,800",193.8,2.287353773,2.547774705
14-Jun,354,"184,740",184.74,2.266560939,2.549003262
14-Jul,353,"188,310",188.31,2.274873383,2.547774705
14-Aug,367,"188,840",188.84,2.276093992,2.564666064
14-Sep,371,"190,780",190.78,2.280532844,2.56937391
14-Oct,381,"196,970",196.97,2.294400085,2.580924976
14-Nov,385,"187,640",187.64,2.273325424,2.58546073
14-Dec,388,"194,180",194.18,2.288204497,2.588831726
15-Jan,389,"194,510",194.51,2.288941934,2.589949601
15-Feb,394,"199,200",199.2,2.299289334,2.595496222
15-Mar,395,"196,790",196.79,2.294003026,2.596597096
15-Apr,391,"201,810",201.81,2.304942682,2.592176757
15-May,400,"202,280",202.28,2.305952945,2.602059991
15-Jun,417,"199,240",199.24,2.299376533,2.620136055
15-Jul,412,"203,210",203.21,2.307945076,2.614897216
15-Aug,418,"198,940",198.94,2.298722114,2.621176282
15-Sep,417,"201,520",201.52,2.304318154,2.620136055
15-Oct,418,"205,620",205.62,2.313065355,2.621176282
15-Nov,414,"198,290",198.29,2.297300813,2.617000341
15-Dec,413,"206,100",206.1,2.314077992,2.615950052
16-Jan,429,"208,660",208.66,2.319439203,2.632457292
16-Feb,426,"197,640",197.64,2.295874845,2.629409599
16-Mar,423,"209,810",209.81,2.321826184,2.626340367
16-Apr,444,"209,880",209.88,2.321971056,2.64738297
16-May,440,"207,120",207.12,2.316222037,2.643452676
16-Jun,428,"223,750",223.75,2.349763044,2.631443769
16-Jul,444,"214,960",214.96,2.332357653,2.64738297
16-Aug,433,"218,630",218.63,2.339709755,2.636487896
16-Sep,445,"221,700",221.7,2.345765693,2.648360011
16-Oct,448,"223,210",223.21,2.348713647,2.651278014
16-Nov,459,"228,250",228.25,2.358410786,2.661812686
16-Dec,469,"231,350",231.35,2.364269504,2.671172843
